Generating SQLite file outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite from outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.nsys-rep
Processing [outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.4,543485,50,10869.7,10912.0,10176,11168,283.1,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc4_execute_kernel_trt
0.4,525373,50,10507.5,10560.0,9760,10784,288.0,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc2_execute_kernel_trt
0.4,524574,50,10491.5,10592.0,9760,10688,287.2,"void genericReformat::copyVectorizedKernel<double, __half, float, (bool)1, (bool)0, (int)1>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.3,499263,50,9985.3,10063.5,9376,10272,243.8,sm75_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize32x32x64_stage1_warpsize2x2x1_tensor16x8x8_execute_kernel_trt
0.3,497500,50,9950.0,10047.5,9344,10176,249.2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc8_execute_kernel_trt
0.3,447613,100,4476.1,4512.0,4160,4576,114.0,"void cuInt8::nchhw2Tonhwc8<(int)32, (int)32, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.3,419293,100,4192.9,4112.0,3776,4480,214.4,"void genericReformat::copyPackedKernel<__half, float, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.3,361246,50,7224.9,7296.0,6752,7360,185.8,"void cuInt8::nchhw2ToNchw<__half>(const __half *, T1 *, int, int, int, int, int, int, cuInt8::ReducedDivisorParameters)"
0.2,330174,50,6603.5,6688.0,6080,6784,195.1,"void genericReformat::copyPackedKernel<__half, float, (bool)0, (bool)1, genericReformat::IdentityCoordMapper<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.2,319711,100,3197.1,3168.0,2944,3360,105.2,"void genericReformat::copyVectorizedKernel<double, float, float, (bool)1, (bool)0, (int)3>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.2,247936,50,4958.7,5024.0,4608,5056,135.3,"void cuInt8::nhwcTonchw<float, (int)32, (int)32, (int)2>(const __half *, T1 *, int, int, int, int, int, int)"
0.2,247551,50,4951.0,4992.0,4608,5056,121.6,"void genericReformat::copyPackedKernel<float, float, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.2,234143,50,4682.9,4736.0,4384,4800,123.4,ResizeVectorizedH2x4NearestKernel
0.2,226752,50,4535.0,4576.0,4224,4672,121.6,"void genericReformat::copyPackedKernel<__half2, __half2, (bool)1, (bool)1, genericReformat::IdentityCoordMapper<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.1,160735,50,3214.7,3232.0,3040,3296,68.8,"void genericReformat::copyVectorizedKernel<double, __half, __half, (bool)1, (bool)0, (int)4>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.0,66656,21,3174.1,3104.0,2976,3872,223.5,"void cask_trt::computeOffsetsKernel<(bool)0, (bool)0>(cask_trt::ComputeOffsetsParams)"

Processing [outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]...
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
92.9,20903282,51,409868.3,403998.0,402014,658716,35654.4,[CUDA memcpy Host-to-Device]
6.4,1436120,52,27617.7,28752.0,1632,30016,5179.2,[CUDA memcpy Device-to-Host]
0.5,104448,23,4541.2,2752.0,2720,39904,7734.1,[CUDA memset]
0.3,65920,21,3139.0,2976.0,2656,4256,469.7,[CUDA memcpy Device-to-Device]
